quote_id,corridor,service,field_id,actual,predicted,sources_used,no_signal,bucket
1000,USA-IND,C2C,default_transaction_fee,1.4713,1.453,historical,false,within_10
1000,USA-IND,C2C,default_fx_spread_percent,0.4235,0.4695,historical,false,within_25
1000,USA-IND,C2C,standard_commitment_fee,669.2868,606.3671,historical,false,within_10
1000,USA-IND,C2C,quoted_setup_price,12369.2939,11837.9374,historical,false,within_10
1000,USA-IND,C2C,service_request_fee_reversal,19.3604,20.9108,historical,false,within_10
1000,USA-IND,C2C,emergency_funding_fee,113.2661,120.437,historical,false,within_10
1000,USA-IND,C2C,tier_1_fee,1.0411,1.0793,historical,false,within_10
1000,USA-IND,C2C,tier_2_fee,0.8325,0.9464,historical,false,within_25
1000,USA-IND,C2C,tier_3_fee,0.7238,0.6903,historical,false,within_10
1000,USA-IND,C2C,target_margin_percent,21.1665,20.639,historical,false,within_10
1000,USA-IND,C2C,target_gm_percent,34.5447,33.0338,historical,false,within_10
1001,USA-IND,C2C,default_transaction_fee,1.453,1.4713,historical,false,within_10
1001,USA-IND,C2C,default_fx_spread_percent,0.4136,0.4695,historical,false,within_25
1001,USA-IND,C2C,standard_commitment_fee,529.5898,637.3316,historical,false,within_25
1001,USA-IND,C2C,quoted_setup_price,12952.3371,11837.9374,historical,false,within_10
1001,USA-IND,C2C,service_request_fee_reversal,21.514,19.5314,historical,false,within_10
1001,USA-IND,C2C,emergency_funding_fee,115.9962,120.437,historical,false,within_10
1001,USA-IND,C2C,tier_1_fee,1.0793,1.0737,historical,false,within_10
1001,USA-IND,C2C,tier_2_fee,0.9032,0.9464,historical,false,within_10
1001,USA-IND,C2C,tier_3_fee,0.7529,0.6903,historical,false,within_10
1001,USA-IND,C2C,target_margin_percent,22.1604,20.639,historical,false,within_10
1001,USA-IND,C2C,target_gm_percent,34.5261,33.0338,historical,false,within_10
1002,USA-IND,C2C,default_transaction_fee,1.4727,1.453,historical,false,within_10
1002,USA-IND,C2C,default_fx_spread_percent,0.4822,0.4235,historical,false,within_25
1002,USA-IND,C2C,standard_commitment_fee,651.7106,606.3671,historical,false,within_10
1002,USA-IND,C2C,quoted_setup_price,11837.9374,12369.2939,historical,false,within_10
1002,USA-IND,C2C,service_request_fee_reversal,19.292,20.9108,historical,false,within_10
1002,USA-IND,C2C,emergency_funding_fee,125.2501,115.9962,historical,false,within_10
1002,USA-IND,C2C,tier_1_fee,1.0215,1.0793,historical,false,within_10
1002,USA-IND,C2C,tier_2_fee,0.9584,0.9032,historical,false,within_10
